Gene_ID
212833_at
232532_at
224556_s_at
234342_at
212531_at
230832_at
224588_at
224687_at
1558620_at
1569478_s_at
222178_s_at
231055_at
216340_s_at
228016_s_at
211318_s_at
1570568_at
236049_at
216490_x_at
227555_s_at
206552_s_at
